Index,Comment,Height(Inches),Extra,Weight(Pounds)
279,"We|Large|School	Other|Company,Conference Government ",65.14295,"Those	Heart Player|Matter
So;",126.3889
280,"Several|Entire
Whether
Bring	Book,",66.74124,"Character|Particular	Through;Once|Seven Free Evidence,",121.5255
281,"Resource
Strong	Behind,Mouth	Best;",66.99923,Study ,133.2951
282,"Campaign|In,Force,Cup
Add
Together Whatever;Yard;Bill;Now|",70.26611,"Four,Person	Arrive|Short Work;Office,End ",127.4072
283,"Two
Special,",67.57666,"Pay	Reason|System,Political
Four Then,",125.08
284,"Itself World Him
Subject;Herself,East,Dark
",66.30582,"Billion|Drop Throughout	Today|Perform
Plan,Hot	Agency	",102.8114
285,"Arm,Natural	If|Throughout;Management
Value;Project
Special	Financial;School;",68.90702,"Medical Claim|Value|Along,Since Painting Traditional|Quality	",134.2212
286,Environmental;Behavior;Usually;,65.60543,"With
Between Teacher
Politics;Total|Become;Clearly	",100.9758
287,"Impact|Deal Analysis
These|Memory
Notice;Finish ",68.00189,"To
Inside,Much ",145.8886
288,"Series,Way|Western	Tree|Practice Whole|Production	Husband Mouth
",69.93715,"Last	Appear	Probably	Establish
City
Painting	Like,Wonder Cold;",155.3046
289,,70.1459,"Surface
Air,Church,Reduce
Part Perform|Learn|Attack Some Room ",138.7175
290,"Mother,",66.66364,"Help
Price,Deal	Land|",116.2611
291,"Anything|Billion
Seven,Require;Tough
Experience	Consider;Into ",69.40676,All Relationship	,120.6087
292,"Third,Pay;Another	Skill	Say
Some,Anything,Daughter	Wind Every
",66.80598,Event	,114.4083
293,"Energy
Part|Sort;Professor,Term ",67.70048,,133.3406
294,"Attack Draw,Leave,Soldier;Part,Cold,",69.13438,Expect|Ready|Day;Fly Civil	,92.74955
295,"Want;Professor;Send
Deal	Else
Also Forward Number|Deep|Simple ",67.53769,"Another
Certainly
Us	Radio Plant
Low,Baby,Above
Everybody;Often	",131.7825
296,"Beautiful,A Painting,Past
",65.77912,,118.3865
297,"Season;Pull
Drug
Artist Give	Certainly|Save|",66.25769,"If,Reveal
Body|Particular ",131.1466
298,,67.39038,"Modern,Short|Short;For
Once|Near	Better;",130.2033
299,"Others	Have;Hand Serve	Age,Work,",64.94327,"Soon
Others|Fear
In|Hold
Major
",129.1836
300,"Far
Parent	Sing	Also Father
Cell,Floor	",69.25699,"Pass Set|Music Direction,As|Her;President,Together|But Drug
",143.1445
301,"Assume,Laugh Long;There
Pass	Standard
Bring Career,American
",69.07739,"Ball
",138.7307
302,Until ,69.64403,"Country;Professional
Subject|Kind;You|Social ",130.9528
303,Attack|Its Serve;Plant Suddenly;Other	Hold Enjoy ,69.07705,"Success Pattern
Note Radio Machine ",124.3032
304,"Drop	Nice,Something|",68.01304,,135.3702
305,Stop;Hit|,68.85664,Run;,124.1988
306,"Partner Section	Thought|Deep	Throw;General Mr
Nothing;Raise;Sport;",63.19158,"Win|Those;Take|Gun,Measure Whole,Toward;Left;",111.2389
307,"Information|By
",65.57591,"Sometimes	Interesting;Care|One
Rise	Fly,",129.4037
308,"Impact Box Trip,Able|Check;Talk,",69.12101,,127.7444
309,"Who,Describe;When;World;Power	Knowledge;Senior;Future Billion
",69.78765,"We Fill,Especially Board
Require|Later
Mrs ",121.3311
310,"Local;Billion,Final;Decade
Quite Whom	Common Like|Can
Then,",67.48203,"Matter|Machine
Energy	Price
Public
Meeting;So,",118.2183
311,"Between|Now,Board	",69.08809,"Increase,Language
Effort Investment,",123.3441
312,"Action
Financial	Oil
If
Example;Coach
",68.5529,"Month Guess;Success,Plan	Bank|Grow|Table	Want
List Song;",151.9118
313,"Group
Goal;",68.21327,"Beautiful,View|Choice;Area Court
Market
",115.3108
314,"Start Between Number	Near,Soon,",67.1012,"Figure	Thank,Its End	Help,Year,Light	Join,Ground,",122.3844
315,"Business|Just,Sign ",71.23661,Individual	Decide;Ever Probably	,129.2323
316,"Success,Fire,Item|Open Knowledge
",69.11946,"Police,Hear;Bed|Imagine	Fund|Plant;Method	",138.2824
317,"Least	Machine;Capital,Must,Subject|Hundred|Maybe
Science	Look ",65.49848,"Group Particular,Think,Sense;Entire
",144.0565
318,Find ,66.58706,"Record	Should
Concern;Improve,Particularly
Begin
",120.8482
319,"Improve;Those	Control;Discussion,Maybe|South
Game|",67.99831,,113.3034
320,"Small
Smile
To|Lot Interesting
Seem|At	Sense,",72.57747,"Process|Policy Should|Prevent,Nation|Interview	No	",149.3227
321,"Important	Cover
",67.97585,"Across;Health
",130.6373
322,"Begin
Executive|",66.62347,,122.387
323,"Be
Far All|Interview,Hot
East	Resource,",67.29574,Animal Bit|,133.8677
324,"Quite
News
Character;Resource,National
",65.95951,,134.8336
325,Past Get;Air;Different|Usually|,66.54011,Likely;Eight;Rich|Remember;Big|Ready;,137.8363
326,,68.07723,"Once
Would	",112.6812
327,,65.83291,Soldier|Notice|Writer ,121.1964
328,"Magazine;Out	Though,Type|Table
Degree,Seven Interesting
",69.23721,"Rule
Treat|Analysis|Several ",114.9262
329,"Everyone	Decide	Next
Data|He
Politics|Special ",64.69413,"Run
Increase|Day
Customer,Woman Senior	Thus|According|Plan ",110.3762
330,"Gun,Evidence	Help,Across;Whose,Right Small ",69.21372,"Off;Test|Much
What;Actually,Door|",126.0337
331,Catch|School|,67.16792,"Lot,Little
Health
Program|Run	Entire|Should|Impact,Network	",118.7008
332,"With Role
Firm	Book Technology
Card Dark
Interest	",67.8467,"Born Perhaps|Agency
Science
",119.3108
333,Government|,69.27389,"Project Both	Small	Raise Until
Subject
",150.7397
334,"Art	But;Wide Central,",67.90547,"Between
Sort
We;Modern Professional,Three;",121.1142
335,"Road	Election	Light,Star,",67.076,"Perhaps	Large,My	Play
Agree
Point	Board,Purpose;Source;Road	",118.4065
336,,70.01531,,142.759
337,"Across
Range Development	Question
Above;Yourself;Field|Impact	Trouble,Somebody	",70.05454,"Apply	Can
Attack	East Teach	Item
",145.6305
338,"Pass,Certain|Carry	Either;Worry	",70.86714,,127.3425
339,"Report,Second;Artist	Quite;",66.0586,"Risk|Eat	Right;Perhaps|Similar|How
Big Focus
",115.9678
340,"Condition Show Training;Human;Able	Performance Throughout,Our;Strategy|Surface ",65.23745,"This,Government|Seat ",104.4441
341,"Beautiful
",68.7413,"Probably|Put,Performance
Itself;Almost|Item;Attack|",138.4905
342,"Beyond,Senior|",69.51946,"Actually
Peace
",145.5049
343,"Couple
Capital|Today|Stand	Threat,Sometimes,Likely|Hotel|Remember	Option	",70.30764,"Probably Physical
Parent Community Quality	Total Here,",124.4065
344,"They Fire;Cup
Summer
Story	Listen;Usually Happy|State,Land
",67.29982,Particular|Certainly ,124.1866
345,Figure	Example|Establish;Way Condition;Knowledge	Until	Voice|,67.60582,"Hear,Doctor,",126.1659
346,"Above|Skin Environmental;Single|Never,Whatever;",67.85566,"During
Difference
Experience	Coach
",138.8125
347,"Inside Country
Imagine Bag;Rock
Line;Can
Lose Language Once ",66.46536,"Up;Half;Avoid,Suffer;Under
Guy|Shoulder,",121.5515
348,"Available,Hope
Form,Current	Both|Statement|Enter Arrive Father,",68.92071,"Kitchen;Impact|State;Any	And;Trade
Arm
",114.2555
349,"Somebody,Knowledge|Something;Material Sometimes|Within
Choose	",68.46886,"Statement	Business;Husband;Entire,Four	Research;",129.4022
350,"Sister What;Early	Day	Total	Sense|Note
Within;Often|Republican,",69.5193,Who	Attack;Them;Total	Response|Energy	Me;Maintain|Tree ,137.5583
351,"Degree	Result;Center Feeling
Task;",70.23956,Decide;Rich|Detail ,134.4996
352,"Send|If,President,Wait Social	",67.85651,,127.7103
353,"Surface;Entire,Two Agreement,Social|Fall
",68.00435,"Bank Democratic Pass
Throw
Front
Threat|Cover|Base
Paper ",115.6709
354,"Stand|Family	Single;Decision|Business,",67.13983,"Arrive	Play,Police
My
Hundred|",131.5906
355,,68.09931,"Democratic|Consumer,Economic	Likely;Stand
Party Rich ",127.5839
356,"Town;Strategy Stay Pass;Until
Future;Your|Budget;",68.99077,"Recently
",125.7211
357,"Reflect
Current Nature|Baby,Model;Hospital
Mouth;Fast
Education,Under ",69.32618,"Red;Thank	Decide
Wide
",119.9885
358,"Move	Service|Evening|Right,",70.09286,"Science,Pm Example;Director,Money;Concern
Pass;Minute	Seem;",140.8676
359,"Democrat Once,North
Mouth,Pull,Soldier;Foot,",68.74304,"Start|Between Music	From;Situation
Seven;Financial	Ball|Let ",136.9164
360,"Raise	Successful|Tv|Each,Result|Character
Find ",64.18633,,118.4759
361,"Challenge Name Stop
Out	Knowledge	Hotel
Interesting
Move|Your,",66.09074,"Necessary Popular
Crime;Crime,Produce|Pick
Page ",129.5516
362,"Pull Food;Soldier
",69.24418,"Through Course	Environmental Think,Them
Here|Sit	Class Land,Seem	",152.0714
363,"Ago But
Open,Red	",69.66512,Oil	,120.8646
364,"Perform
",68.42721,Above ,136.1027
365,Management	Last;Seem;South;Which|Mean Top North;,68.28613,Official|Happen	,130.0611
366,"Court,Name
Color
",69.37684,"Hospital;Change Strategy	Suffer
Politics Dog
Theory	",131.7743
367,Station|Poor Summer|,68.35315,"Main|Law,Include	Consider;Ever Their;Management Despite
Force;Perform;",139.38
368,"Respond,Six	Care;Half;Option	Where,",72.32489,"Yourself;Institution,Sense,Job	Teacher,Those,",168.229
369,"Economic,Tv|Must,",70.37159,Treat	Majority|Billion|Positive;,127.6446
370,Yes	Station;Pretty	,65.72927,"Build
Call	Term|Myself,Similar|",131.8008
371,"Popular,Mention|Because;My|Day	Movie
Media ",66.49627,"Expect,Several Reflect
",122.8561
372,"Include
Sing|Room;Law;Edge,Economy Same;Study Quickly|",70.81339,,140.2133
373,"Inside
Fight	Always
Now;In
American,She,",67.37579,"Once
South Recent	Million,",142.6929
374,"Night
Security|School What,Measure;Us Woman
Stock;People;The
",67.79709,"Owner;Impact;Left Other,Once Own;Free;",137.4299
375,"Customer	Total Shoulder
Focus
",68.1607,"Usually|Report Trial;Prevent
Subject Prepare,Where	Reduce System	Painting;",126.0392
376,,68.85782,"Care|Analysis;Tax	Simple,Little	Deep
",143.5985
377,"Foreign
Economic,",67.71342,"As
Instead|Behind Discover|Student,Exactly
President
Resource;Father,Knowledge	",122.62
378,"Stuff
Far;",64.66007,"Newspaper|Tax Ago;Free;Wish Senior	Its
End Hand,Meeting	",108.6044
379,"May
Up	No Accept
Member;Opportunity|Listen	Discussion
Cold
Difficult;",65.73721,"Fact;Girl,Body,",100.6617
380,Once;,68.42441,"Player|Itself
Whole|Such;Player	Likely;Ready	General	Fly|",116.1397
381,"Director	Suffer Friend|Ready	Together
",68.88946,"Source,Democrat;Soon;",140.5293
382,"Like
Into Light	Economy
No	Less	How|They Season	Others;",68.27367,Could	,125.6907
383,"Surface
Model;Pretty	Recently	Reveal
Mrs ",69.18045,Themselves	Represent	Blue|Whose	Option ,134.3329
384,"Piece Exactly;Stock
Production,Rather,Common;Break
",72.60996,"People|True
",136.4649
385,Beyond	,66.04157,"Central Help;Serve|Area	Learn Information
",127.8822
386,"Only,Their	Picture	Its|Summer|Benefit	Draw|Character Bed|",69.2288,"Outside;Than,Recent|Former
",123.1361
387,"Population Including|Size|Only,Recognize	Simple Response;Determine Him,",68.87697,"Bill	Southern Political
Write,Song
Partner;",116.3375
388,"Pay
Begin Road
Back,Many
Staff,Voice;",66.46042,"Throughout;Born	Sound;Operation;Him,Early;",124.5581
389,"Quickly	Responsibility
To;Pay ",69.30444,"Play;While	Energy;Process;Husband Institution
Especially,Level,Best	",125.7853
390,"Work	Minute
Source
Development|Film	",67.58249,"Local,",107.5905
391,"Former	Light Total Price,Firm;Democratic
Threat,",69.41816,Media	Pressure;Personal;Body|Heavy;Condition|Woman;Easy	,143.0236
392,"Degree Policy
Among,Table	Military|Research,Medical,Artist	",67.46867,"They,Nation|Control;Reflect,Professional
Expert|Trouble	",118.7434
393,"Run;Quickly
Somebody|Teacher|Person
Report
Late;",66.44873,"Identify|School
Organization|Just;Consumer
Different|Sometimes,Surface	Some;",118.9856
394,"Popular
Stand|Full,Those
Budget	Start	Some,Growth
",68.76185,"Maybe;Million,Themselves;",131.8744
395,"Rather Successful|Right,Produce;Size
",63.76881,"They,Accept	Thank	Investment
Compare	Long;New Mention College,",119.3691
396,"Section;Alone,Great	Hand	Design|Guy,",69.03663,"You,Coach
Office ",126.1223
397,"Buy
Television	Public	Pick Country|Man,Thing	Week;",66.48966,"Project
Local|Bad;Goal	Fear Ball,Well
Scene ",126.6122
398,"State	Human	Research;Writer Stay
Message
",66.74224,,113.5597
399,Road|Door;Push;,67.69394,,115.8413
400,Able	Table Reduce Skill;Region;,66.69066,"Discuss;Goal Against,Letter,Quite|Very|",130.2738
401,Artist	,67.02877,"Himself
Energy;Possible|Product,Court	Great,Him
",125.4542
402,"Have	Hold;Role	Second;Toward|President	Player;Will,Two Foreign	",65.91096,Leave|Evidence ,117.1655
403,Forward|Lay	Term Nice	Pick|Few	Probably;Employee ,70.0304,"One;Agree,",137.3184
404,"Behavior;Common
Blue
Subject
",69.26978,,149.4447
405,"Bill Financial;Condition	Item	Exist;So;Especially;Theory
Student	",70.07695,,151.0695
406,"Floor|Front,Hospital ",64.90942,"Yet
Finish	Join	People,Respond
Interest|Fire
",116.9994
407,"How
Above;Within	Teacher|Peace ",69.68744,"Wish
Model;",138.1787
408,"While;Site;Relate;Security|Believe;Culture
Range	Knowledge	Sense
Hospital
",67.56524,"Send;Hard;Explain	Reality That|Thing	Newspaper
Morning|",127.621
409,"Without	Level|Statement Put;Use|Development	Read
Near|Various
Because|",63.85529,"Study;Alone
Campaign;Help,Child
Decide
",120.7514
410,Term;,71.6189,Would	Choice Television|Audience;Recognize According|Not;Question|,144.2537
411,"Group;Image,Speak Move	Accept Player
",64.98993,"Particularly Amount Small|Artist|Up,Daughter|",105.7939
412,"Claim	Reveal,Produce,Word|Social
",64.60759,"Traditional	Employee,Might ",120.1567
413,"Mr,Here	Peace;She Meeting,Interesting	Reveal
Into
",62.01666,"Me
Loss
Kind	Finish|How	",109.0848
414,"Someone
Thousand;",65.28516,"Fire,Notice,Nor
Case	Floor Through|These,Case	",125.971
415,"Family	Start Moment|Best,Within	Whom|Country|",67.70163,"Management Character May,Buy	Prepare;One Group Degree	",110.2325
416,"Instead,Dark,Appear	Wall	Treatment	Brother	",70.85794,"Account
Player Sound
Enter	Matter|Budget;List,",134.4706
417,"Style;Home,When	Firm	Significant|Admit
Station Air|Civil Leader;",68.17075,"Argue|Summer,Speech Ask
Rate National|Plan;Near	State
Final ",115.5067
418,"Everybody Form	Suffer	West;Item Newspaper;Fire	Take,Everyone
Election;",67.45006,"Among Indeed;Another	Provide
About
Organization;Accept From,Purpose;",125.1086
419,,71.04224,"Understand
Choice|That|",116.4113
420,"Remember;Few
",67.83032,"Fine,Admit ",133.3944
421,"Task,Sign;Fund|Produce	Analysis
Door	While Assume,I Large|",67.15488,"Range
Picture	That
When	",108.7478
422,,68.30289,"Along,Gun	",134.3986
423,"Time
College,Whole;Sound;Sell;Race,Pattern	Coach	",65.41208,"Cup
Medical|Nation|Year
",131.2085
424,"Behavior|Drive|Factor|Represent,Again Others|Against
Parent Interview;",68.66755,"Customer	Machine,Worker,",130.8318
425,"Wide,Remain
",70.06733,Enjoy;Why	,127.0838
426,"Sell	Beat,Prove Various Southern;",69.13413,"Beautiful
Today
Later	",119.4067
427,Project;Suffer|Before|Eat;Memory|Present	,67.02078,"Material,Occur Finish	Politics,",105.5616
428,"Hear	Charge,Surface|Also|Site
Bill To	Responsibility Prove
Word	",65.52274,"Culture;Amount	Serious
",134.4733
429,"Natural
Least
Minute
",70.19808,"Lose,",132.6897
430,"System,But Article|Campaign Fill
Now
What|Rather
Onto ",67.66866,"Store,Issue	Bit;Instead;Too|Teacher|Science	Agree Especially
",126.058
431,"Add
Tv,Type|Artist So
At,Within Machine;Eight,",69.73257,,126.3532
432,"Chance
",67.61719,Dog|,142.3603
433,"Account
",70.79589,Protect;Better|Young	Republican;,124.5873
434,"Left|Young
Common Mr
Indicate ",69.65804,"Color|Structure;Price,Author,",122.3604
435,,66.73277,Require Customer;Large|Year|Prevent	Add	Sure Language;Trade|Thing	,123.2298
436,Message Religious	That|,67.58008,"Back	Month
Size College Produce|Brother,Improve	Around|Her,Material	",131.4049
437,"Win	Party	Result;How
Fall;Difference;Different;Power,",65.25317,Share|,124.3037
438,"Professor;Fish|Participant
Senior
Kid;Fine
Care,South;Current|",70.71387,"Let
Dinner
Everybody Onto|Leg,Environmental,Least|",128.3836
439,,71.27374,"Coach,Stop Girl
Read;Sense
Kid
Truth|Pretty
",136.853
440,"Against,Avoid,",66.55913,"Prove,Early|Interview|Indeed ",118.0569
441,"Send,",68.04247,"Purpose	Share;Seem
View,",121.4969
442,Before|Maintain Pretty	Pull Step Part;Me	Marriage|Over ,68.11699,"Brother|Stuff True;Stock	Should;Environmental
Factor,Nice,Word
Television	",119.2811
443,"Product Listen,",71.2367,"Coach;Prevent;Her;Around	Father	Not,Enjoy;Dog
Now|",126.5545
444,"Certainly|Popular
Outside|Century
Pick Stuff ",66.92387,"Put	Around,Trial;Option,Reveal Art
Real
",129.2477
445,"Brother;Friend;Opportunity
Congress
Article,Reveal ",71.10381,"Memory,Thousand
Sit|Yes,",134.7804
446,"Young Information|Let
Seem
",69.41466,"Begin,Oil|Live	Tough,Use;Form ",146.0725
447,"Professor	Prepare|Mission,Administration|Approach;Four Source;Senior	Tonight Wonder;",69.16807,"With,Law
Popular;Morning Discussion
",162.4109
448,Impact	Religious	Area	,68.57725,"A	Kid|You	Yet Consider;Plant
Summer,",130.1885
449,Truth;Interview	Hope	Size;,69.60315,"Consider Continue|Magazine,No
Appear ",132.1941
450,,69.05087,"Pick|Move	Truth	Cut;Yard|Through
Drop|Mrs|",127.4591
451,"Line Itself,Ask,Government	",68.28699,,125.3466
452,Left|,69.25276,"Often Make
Right|Community ",134.7559
453,Sister;,68.23862,,121.9395
454,"Son Fall Tell,Send Moment,Remember Would
",67.6868,History	,125.6688
455,"Action
Capital
Conference Analysis
Themselves,Camera	Magazine;Toward
",68.84083,"Prepare,Bad,But;Camera,Seven Interest|Myself Third ",145.956
456,"Money|Yet
Far;Accept,Build	Attack,Pretty,Report,Check	",69.52061,Forget;Term Interest;,119.9207
457,"Charge;Chair,Not|Someone
Young,Take Course	Sister,Determine
",66.97668,"Course|Purpose	Challenge,Message,Open	Ask,Itself	Day	Use|Officer
",111.5093
458,"Method	Avoid
Apply|Page	",72.0053,"Require
Interview;",138.676
459,Investment;Early ,67.44482,"Trade
Image
Project,",135.0151
460,Again;Late|,66.06214,"Town	Finally|Usually;Market,",116.509
461,"Only,She;Foreign	Out,Mean	Right,Spring;Item|",65.5747,"Book,Whether	This	Possible
Ground|Environment,Surface	Benefit,",123.9575
462,"Check
Respond Between;Rock;Participant|Interest Practice
Arm
Economy;Management ",68.30171,"Assume,Else
Card	It Beyond|Evidence|Activity;",136.952
463,"Anything;Guess Often	Rather;Program|Wish|Every,Instead|",71.02603,"Mean Billion;Dinner,North;Drug
Friend
Summer|",153.0797
464,"Reason Cell|Suddenly Home,Prevent	Media	Accept	Plan	Field
Security;",70.76882,"Economic
Region,I,Direction	Outside;Realize|Car|Cell
Subject|North;",126.357
465,"Daughter;Top
Condition
Exactly,Standard Day	Determine,Structure ",67.50812,,145.0614
466,"Identify,Threat|Inside	Push|Name;Fine|Evidence
",69.50936,"Question|Similar|Born;Character;Play,Project|",135.1739
467,"Plan|Truth	What;Say,Century;Current	Book,",66.4455,Order;Cold Help|Drug;Young;Great ,108.806
468,Situation However;Professor;Official|If;,68.5689,"Water
Arm
",110.5155
469,"And,Beautiful|Stage|",67.01296,"Next;While,Add,Begin	Method	Because
",138.2685
470,"Suddenly;Talk
Pretty
Phone
Remember ",68.70004,Create	Piece;Will	Remain Its	,119.5111
471,"Author
Need;Poor,Behavior	Two Community;Between|Contain|Receive ",68.23013,Way;Letter;,115.3214
472,"Step,Someone;Opportunity	Fund Whatever	Only Per
Far	He;",70.40713,Treatment|,132.3684
473,Man|Already	,65.69989,"Final;Low|Nearly,East Including
Our	",93.99438
474,"World Much;Deep,Mention|News Yourself|Adult,",65.7031,"Garden|Sell	Plan,Win	Which	For	",127.4051
475,"Kind
Itself;Really Business Ability,Central;",68.48055,"Degree
City	",134.3024
476,,66.62891,Call	,124.9721
477,"Cover;Election;Entire,Son;Anything
Gas ",66.84285,"Doctor,Performance
Person;Economy	Almost,Section	",124.072
478,"Product,Approach;Value
Grow;",69.89734,"Growth	Theory;Campaign	Candidate,Scene|",133.5476
479,"Event|Car
Produce;Despite
With|Individual
Central
",67.6543,"Computer
Lot Boy;Air|Dark|Speech;Mean Best|Sort
",134.1509
480,"News;Measure,Mind	Design|Simple Writer,",68.30917,"Son,Create	Often|Almost,Practice;Record,Call,Class	",130.2489
